YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,100009,BOOTLEG RED - 750ML,WINE,0,0,2
2020,1,PWSWN INC,100024,MOMENT DE PLAISIR - 750ML,WINE,0,1,4
2020,1,RELIABLE CHURCHILL LLLP,1001,S SMITH ORGANIC PEAR CIDER - 18.7OZ,BEER,0,0,1
2020,1,LANTERNA DISTRIBUTORS INC,100145,SCHLINK HAUS KABINETT - 750ML,WINE,0,0,1
2020,1,DIONYSOS IMPORTS INC,100293,SANTORINI GAVALA WHITE - 750ML,WINE,0.82,0,0
2020,1,KYSELA PERE ET FILS LTD,100641,CORTENOVA VENETO P/GRIG - 750ML,WINE,2.76,0,6
2020,1,SANTA MARGHERITA USA INC,100749,SANTA MARGHERITA P/GRIG ALTO - 375ML,WINE,0.08,1,1
2020,1,BROWN-FORMAN BEVERAGES WORLDWIDE,1008,JACK DANIELS COUNTRY COCKTAIL SOUTHERN PEACH - 10.OZ-NR,BEER,0,0,2
2020,1,JIM BEAM BRANDS CO,10103,KNOB CREEK BOURBON 9YR - 100P - 375ML,LIQUOR,6.41,4,0
2020,1,INTERNATIONAL CELLARS LLC,101117,KSARA CAB - 750ML,WINE,0.33,1,2
2020,1,HEAVEN HILL DISTILLERIES INC,10120,J W DANT BOURBON 100P - 1.75L,LIQUOR,1.7,1,0
2020,1,BACCHUS IMPORTERS LTD,10123,NOTEWORTHY SMALL BATCH BOURBON - 750ML,LIQUOR,1.02,0,0
2020,1,BACCHUS IMPORTERS LTD,10124,NOTEWORTHY SMALL BATCH RYE 750ML,LIQUOR,0.68,0,0
2020,1,BACCHUS IMPORTERS LTD,10125,NOTEWORTHY SMALL BATCH HONEY BBN 750,LIQUOR,0.34,0,0
2020,1,MONSIEUR TOUTON SELECTION,101346,ALSACE WILLIAM GEW - 750ML,WINE,0,0,2
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",101486,POLIZIANO ROSSO MONTEPUL - 750ML,WINE,0,0,1
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",101532,HATSUMAGO SAKE JUN MAI SHU - 720ML,WINE,0.34,1,1
2020,1,ROYAL WINE CORP,101664,RAMON CORDOVA RIOJA - 750ML,WINE,0.16,0,2
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,101702,MANISCHEWITZ CREAM RED CONCORD - 1.5L,WINE,0,0,1
2020,1,ROYAL WINE CORP,101753,BARKAN CLASSIC PET SYR - 750ML,WINE,0,0,3
2020,1,ROYAL WINE CORP,101915,WEINSTOCK CAB - 750ML,WINE,0,0,1
2020,1,ROYAL WINE CORP,101923,WEINSTOCK CHARD - 750ML,WINE,0,0,1
2020,1,JIM BEAM BRANDS CO,10197,KNOB CREEK BOURBON 9YR - 100P - 1.75L,LIQUOR,12.72,11.84,0
2020,1,STE MICHELLE WINE ESTATES,101974,CH ST MICH P/GRIS - 750ML,WINE,11.17,11,9
2020,1,Default,102,TWO BOTTLE WINE TOTE,STR_SUPPLIES,0.1,0,0
2020,1,SAZERAC CO,102032,FUKI SAKE - 750ML,WINE,1.25,0,1
2020,1,MONSIEUR TOUTON SELECTION,102083,CH DE LA CHESNAIE MUSCADET - 750ML,WINE,0.32,0,0
2020,1,MONSIEUR TOUTON SELECTION,102148,MONSIEUR TOUTON S/BLC - 750ML,WINE,0,0,6
2020,1,JIM BEAM BRANDS CO,10243,OLD GRAND DAD BOURBON 100P - 750ML,LIQUOR,1.21,1,0
2020,1,SALVETO IMPORTS LLC,10245,CRICOVA ORIGINAL WH - 750ML,WINE,1.91,4,147
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",10246,HILLROCK DOUBLE CASK RYE - 750ML,LIQUOR,0.51,0,0
2020,1,HUB WINE CORPORATION,10264,90+ CELLARS LOT 113 BIG RED BLEND - 750ML,WINE,0,0,1
2020,1,RELIABLE CHURCHILL LLLP,10269,FEW BOURBON - 750ML,LIQUOR,0.85,0,0
2020,1,ALLAGASH BREWING COMPANY,10271,ALLAGASH SAISON 6/4 NR 12.0Z,BEER,0,0,9
2020,1,CAMPARI AMERICA LLC,10272,WILD TURKEY AMERICAN HONEY STING - 750ML,LIQUOR,0.08,0,0
2020,1,PERNOD RICARD USA LLC,10276,ABERLOUR 18 YR - 750ML,LIQUOR,0.51,3,0
2020,1,CAMPARI AMERICA LLC,10278,WILD TURKEY 101 - 200ML,LIQUOR,1.16,0,0
2020,1,PERNOD RICARD USA LLC,10279,THE GLENLIVET NADURRA FIRST FILL - 750ML,LIQUOR,0.34,1,0
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",103055,ALLAN SCOTT VYDS S/BLC - 750ML,WINE,0,0,6
2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,10324,DELOACH RR CHARD - 750ML,WINE,0,0,2
2020,1,BACARDI USA INC,10332,GREY GOOSE VODKA - 375ML,LIQUOR,33.57,36,0
2020,1,YOUNG WON TRADING INC,10345,KLOUD - 500/12 NR,BEER,2,2,0
2020,1,YOUNG WON TRADING INC,10346,KLOUD - 330/24 NR,BEER,2.75,2,7
2020,1,TROEGS BREWING COMPANY,10356,TROEGS NUGGET NECTAR 4/6 CANS,BEER,0,0,5
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",103608,VAJRA LANGHE NEBBIOLO DOC - 750ML,WINE,0.48,0,2
2020,1,CASTLE BRANDS USA CORP,10375,PALLINI LIMONCELLO 6/CS - 750ML,LIQUOR,11.99,15,0
2020,1,LEGENDS LTD,10387,FIRESTONE NITRO MERLIN - 50L,KEGS,0,0,1
2020,1,WASHBURN WINE CO,10394,DE GARRE BELGIUM ALE - 750ML,BEER,0,0,2
2020,1,Default,104,FOUR BOTTLE WINE TOTE,STR_SUPPLIES,0.4,0,0
2020,1,CELICAR LLC DBA TWIN VALLEY DISTILLERS,10401,DIRTY APPLES CINNAMON WHISKEY - 750ML,LIQUOR,0.17,0,0
2020,1,DIONYSOS IMPORTS INC,104060,LES CHAILLOUX SANCERRE CHERRIE - 750ML,WINE,2.55,5,3
2020,1,DOPS INC,10407,21ST AMENDMENT EL SULLY CERVEZA - 4/6 12.0Z,BEER,0,0,6
2020,1,JACKSON FAMILY ENTERPRISES INC,10413,MURPHY GOODE CHARD - 750ML,WINE,9.41,8,13
2020,1,YOUNG WON TRADING INC,104280,SHO CHIKU BAI SAKE - 750ML,WINE,0,0,6
2020,1,BUCK DISTRIBUTING COMPANY INC,10430,STONE IPA 4/6 NR - 12OZ,BEER,33.79,45,120.75
2020,1,PUNTO VINO LLC,104302,EREDI LODALI BAROLO 6/CS - 750ML,WINE,1.19,0,0
2020,1,VICTORY BREWING COMPANY LLC,10431,VICTORY GOLDEN MONKEY 4/6 NR,BEER,16.75,19,191
2020,1,DIONYSOS IMPORTS INC,10432,MYTHOS BEER 4/6NR - 11.2OZ,BEER,1.5,0,35
2020,1,LEGENDS LTD,10434,LAGUNITAS IPA 4/6 NR - 12OZ,BEER,63.5,63,210
2020,1,LEGENDS LTD,10435,LAGUNITAS SUMPIN SUMPIN 4/6 NR - 12OZ,BEER,15.41,22,57
2020,1,LEGENDS LTD,10436,OSKAR BLUES DALES PALE ALE 12.OZ 4/6 CAN,BEER,37,46,113
2020,1,LEGENDS LTD,10437,CRISPIN CIDER ORIGINAL 4/6 NR - 12OZ,BEER,0,0,25
2020,1,LEGENDS LTD,10438,BRECKENRIDGE VANILLA PORTER 4/6 NR - 12OZ,BEER,7,5,54
2020,1,THE WINE GROUP,10439,CONCANNON FOUNDERS CAB - 750ML,WINE,0.74,0,3
2020,1,THE WINE GROUP,10440,CONCANNON FOUNDERS CHARD - 750ML,WINE,0.41,0,3
2020,1,THE WINE GROUP,10441,LOVE P/NOIR - 750ML,WINE,8.49,17.67,25
2020,1,PERNOD RICARD USA LLC,10442,OLMECA ALTOS TEQ - PLATA - 750ML,LIQUOR,20.95,34,4
2020,1,PERNOD RICARD USA LLC,10443,OLMECA ALTOS TEQ - REPOSADO - 750ML,LIQUOR,20.7,38,2
2020,1,PERNOD RICARD USA LLC,10444,JAMESON CASKMATES STOUT - 750ML,LIQUOR,36.31,29.66,0
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",10445,BRECKENRIDGE BOURBON - 750ML,LIQUOR,12.07,11,2
2020,1,ELITE WINES IMPORTS,104450,SEIFRIED S/BLC - 750ML,WINE,0,0,1
2020,1,DOPS INC,104604,DRY CREEK HERITAGE CLONE ZIN - 750ML,WINE,0,0,1
2020,1,LUNEAU USA INC,104639,JULES BERTIER SPARK - 750ML,WINE,0,0,2
2020,1,PERNOD RICARD USA LLC,10472,MALIBU RUM - PASSION FRUIT - 750ML,LIQUOR,3.9,0,0
2020,1,LEGENDS LTD,10475,HITACHINO ANABAI - 11.2OZ,BEER,0,0,1
2020,1,BARON FRANCOIS LTD,10480,CHATEAU LAUBADE ARMAGNAC VSOP - 750ML,LIQUOR,2.37,4,0
2020,1,BARON FRANCOIS LTD,10499,CHATEAU LAUBADE ARMAGNAC XO - 750ML,LIQUOR,1.53,1,0
2020,1,Default,105,WINE GIFT TOTE SINGLE BOTTLE,STR_SUPPLIES,10.6,0,0
2020,1,ROYAL WINE CORP,105031,CH DE LA GRAVE RED - 750ML,WINE,0,0,10
2020,1,PROXIMO SPIRITS INC,10529,JOSE CUERVO GOLDEN MARGARITA - 1.75L,LIQUOR,46.66,47,0
2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,10545,FERRARI CARANO MERLOT SONOMA - 750ML,WINE,0,0,1
2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,105490,HAKUTSURU SAKE - 720ML,WINE,3.07,4,0
2020,1,TROEGS BREWING COMPANY,1058,TROEGS HOPBACK ALE 4/6 NR,BEER,6.79,9,11
2020,1,LEGENDS LTD,10586,ALHAMBRA RESERVA 20L-1/6K,KEGS,0,0,1
2020,1,LEGENDS LTD,10593,ALHAMBRA RESERVA - 4/6NR 12.0Z,BEER,0,0,2
2020,1,Default,106,SIX BOTTLE WINE TOTE (NO LOGO),STR_SUPPLIES,2.1,6,0
2020,1,DOPS INC,10603,NORTH COAST OLD RASPUTIN - 22.0Z,BEER,0.24,1,1
2020,1,LEGENDS LTD,10609,FIRESTONE LUPONIC DISTORTION - 4/6 CAN 12.0Z,BEER,0,0,1
2020,1,LEGENDS LTD,10610,LAGUNITAS LIL SUMPIN - 2/12 NR 12.0Z,BEER,1.5,0,7
2020,1,LEGENDS LTD,10632,FIRESTONE LUPONIC DISTORTION - 50L,KEGS,0,0,2
2020,1,DIAGEO NORTH AMERICA INC,10634,SMIRNOFF VODKA - CHERRY - 1L,LIQUOR,7.02,8.75,1
2020,1,THE WINE GROUP,10637,CUPCAKE PROSECCO - 187 3PK,WINE,4.53,5,13
2020,1,THE WINE GROUP,10638,FRANZIA PINK MOSCATO - 5L,WINE,2.5,4,20
2020,1,LEGENDS LTD,10646,OSKAR BLUES G'KNIGHT - 4/6 CAN 12.OZ,BEER,0.25,0,7
2020,9,RELIABLE CHURCHILL LLLP,11317,FEW BREAKFAST GIN - 750ML,LIQUOR,1.02,0,0
